<!DOCTYPE html>
<html>
<body>

Persona	Level 	Strength	Magic	Endurance 	Agility 	Luck	Phys	Gun	Fire	Ice 	Elec	Wind	Psy	Nuke	Bless	Curse	Arcana	Shadow	Extra Note
Abaddon	73	51	42	58	38	43	Dr	Dr	-	-	-	-	-	-	Rs	Dr	Judgement	Abyssal King of Avarice	
Adam Kadmon	???	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Councillor	-	Maruki's Second Tier Persona
Agathion	3	3	4	5	7	3	-	Rs	-	-	Rs	Wk	-	-	-	-	Chariot	Apprentice in a Jug	
Agnes	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	-	-	-	-	Wk	Nu	-	Rs	Priestess	-	Makoto's Third Tier Persona
Al Azif	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	-	-	-	-	-	-	-	-	Hermit	-	Futaba's Third Tier Persona
Alice	83	45	61	49	54	47	-	-	-	-	-	-	Rs	Rs	Wk	Rp	Death	Mysterious Little Girl	Strongest Persona of the Death Arcana
Alilat	81	45	54	57	49	45	Rp	Rp	Wk	Dr	-	-	Nu	-	-	Wk	Empress	Decadent False God	
Ame-no-Uzume	13	7	10	9	11	9	-	-	Dr	-	-	-	Wk	-	-	-	Lovers	Captivating Dancer	
Ananta	44	26	30	31	27	25	-	-	-	Dr	Wk	-	-	-	-	-	Councillor	-	
Anat	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	-	-	-	-	Wk	Nu	-	-	Priestess	-	Makoto's Second Tier Persona
Angel	9	6	9	5	9	5	-	Wk	-	-	Rs	-	-	-	Nu	Wk	Justice	Zealous Messenger	
Anubis	34	19	24	22	21	23	-	Rs	-	-	-	-	Rs	-	Nu	Nu	Judgement	Bearer of the Scales	
Anzu	25	14	18	15	21	14	-	Wk	-	-	Rs	Rp	-	Wk	-	-	Hierophant	Thief of Tablets	
Apsaras	11	7	11	6	10	6	-	-	Wk	Rs	Wk	-	-	-	-	-	Priestess	Waterside Nymph	
Ara Mitama	30	20	18	20	20	19	Rs	-	-	Wk	-	-	-	-	-	-	Chariot	-	
Arahabaki	35	21	23	22	24	22	Rp	Rp	-	-	-	-	Wk	Wk	Rs	Rs	Hermit	Awakened God	
